T,x,p,s,X,P,S,t
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230462928000000
SPY, 15, 371.88, 1, 2, 371.9, 1, 1608230462718000000
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230462928000000
SPY, 17, 371.88, 3, 2, 371.9, 1, 1608230463510000000
SPY, 17, 371.88, 2, 17, 371.9, 2, 1608230463595000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230463629000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230463695000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230463695000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230463695000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230463695000000
SPY, 17, 371.88, 2, 2, 371.89, 1, 1608230463705000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230463705000000
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230464042000000
SPY, 17, 371.88, 3, 2, 371.9, 1, 1608230464376000000
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230464376000000
SPY, 17, 371.88, 3, 2, 371.9, 1, 1608230464376000000
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230464382000000
SPY, 17, 371.88, 3, 2, 371.9, 1, 1608230464382000000
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230464911000000
SPY, 17, 371.88, 3, 17, 371.9, 2, 1608230465993000000
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230466212000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230466660000000
SPY, 17, 371.88, 2, 2, 371.89, 1, 1608230466660000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230466660000000
SPY, 17, 371.88, 2, 2, 371.9, 1, 1608230466660000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230466660000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230466660000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230466661000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230466661000000
SPY, 17, 371.88, 2, 2, 371.89, 5, 1608230466661000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230466662000000
SPY, 17, 371.88, 2, 2, 371.89, 5, 1608230466662000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230466662000000
SPY, 17, 371.88, 2, 2, 371.89, 5, 1608230466662000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230466662000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230466662000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230466662000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230466662000000
SPY, 17, 371.88, 2, 2, 371.89, 1, 1608230466662000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230466677000000
SPY, 17, 371.88, 2, 2, 371.89, 1, 1608230466677000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230466677000000
SPY, 17, 371.88, 2, 2, 371.89, 7, 1608230466677000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230466677000000
SPY, 17, 371.88, 2, 15, 371.89, 15, 1608230466677000000
SPY, 17, 371.88, 2, 2, 371.89, 7, 1608230466698000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230466698000000
SPY, 17, 371.88, 2, 17, 371.89, 4, 1608230466698000000
SPY, 17, 371.88, 2, 2, 371.89, 9, 1608230466698000000
SPY, 17, 371.88, 2, 2, 371.89, 7, 1608230466698000000
SPY, 17, 371.88, 2, 2, 371.89, 6, 1608230466995000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230466995000000
SPY, 17, 371.88, 2, 2, 371.89, 6, 1608230466995000000
SPY, 17, 371.88, 2, 2, 371.89, 5, 1608230467004000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467004000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467004000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467004000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467016000000
SPY, 17, 371.88, 2, 2, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467016000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 15, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 15, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 15, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467016000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467534000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467541000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467541000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467541000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467541000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467541000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467625000000
SPY, 17, 371.88, 2, 17, 371.89, 1, 1608230467651000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467911000000
SPY, 17, 371.88, 2, 2, 371.89, 1, 1608230467911000000
SPY, 17, 371.88, 2, 2, 371.89, 2, 1608230467911000000
SPY, 17, 371.88, 2, 2, 371.89, 1, 1608230467911000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467911000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467911000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467911000000
SPY, 17, 371.88, 2, 2, 371.89, 8, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 7, 1608230467921000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 8, 1608230467921000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 8, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 10, 1608230467921000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230467921000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 10, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 8, 1608230467921000000
SPY, 17, 371.88, 2, 15, 371.89, 16, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 8, 1608230467921000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 8, 1608230467921000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467921000000
SPY, 17, 371.88, 2, 2, 371.89, 8, 1608230467921000000
SPY, 17, 371.88, 2, 3, 371.89, 10, 1608230467921000000
SPY, 17, 371.88, 2, 17, 371.89, 2, 1608230467921000000
SPY, 17, 371.88, 1, 2, 371.89, 9, 1608230468031000000
SPY, 17, 371.86, 2, 17, 371.89, 2, 1608230468031000000
SPY, 17, 371.86, 2, 2, 371.89, 9, 1608230468031000000
SPY, 17, 371.86, 2, 17, 371.88, 5, 1608230468031000000
SPY, 17, 371.86, 2, 2, 371.88, 1, 1608230468031000000
SPY, 17, 371.86, 2, 17, 371.88, 5, 1608230468031000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230468032000000
SPY, 17, 371.86, 2, 2, 371.88, 2, 1608230468032000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230468032000000
SPY, 2, 371.85, 1, 17, 371.88, 6, 1608230468460000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230468494000000
SPY, 2, 371.85, 1, 17, 371.88, 6, 1608230468460000000
SPY, 17, 371.85, 2, 17, 371.88, 6, 1608230468494000000
SPY, 17, 371.85, 2, 2, 371.87, 2, 1608230468494000000
SPY, 17, 371.85, 2, 2, 371.87, 3, 1608230468531000000
SPY, 17, 371.85, 2, 2, 371.87, 2, 1608230468531000000
SPY, 2, 371.83, 1, 2, 371.87, 2, 1608230468532000000
SPY, 15, 371.83, 15, 2, 371.87, 2, 1608230467971000000
SPY, 2, 371.83, 1, 2, 371.87, 2, 1608230468537000000
SPY, 2, 371.83, 1, 17, 371.87, 2, 1608230468560000000
SPY, 15, 371.83, 15, 17, 371.88, 6, 1608230467971000000
SPY, 2, 371.83, 1, 2, 371.87, 2, 1608230468574000000
SPY, 15, 371.83, 15, 2, 371.87, 2, 1608230467971000000
SPY, 17, 371.83, 5, 17, 371.88, 6, 1608230468572000000
SPY, 15, 371.85, 1, 17, 371.88, 6, 1608230469940000000
SPY, 2, 371.85, 2, 17, 371.88, 6, 1608230469946000000
SPY, 17, 371.85, 2, 17, 371.88, 6, 1608230469946000000
SPY, 15, 371.85, 1, 17, 371.88, 6, 1608230469940000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230469948000000
SPY, 15, 371.86, 1, 17, 371.88, 6, 1608230469949000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230469949000000
SPY, 15, 371.86, 1, 17, 371.88, 6, 1608230469949000000
SPY, 2, 371.85, 2, 17, 371.88, 6, 1608230469949000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230469956000000
SPY, 2, 371.85, 2, 17, 371.88, 6, 1608230469949000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230469960000000
SPY, 2, 371.86, 2, 17, 371.88, 6, 1608230469965000000
SPY, 2, 371.86, 4, 17, 371.88, 6, 1608230469966000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230469960000000
SPY, 15, 371.86, 1, 17, 371.88, 6, 1608230470215000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230469960000000
SPY, 15, 371.86, 1, 17, 371.88, 6, 1608230470325000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230469960000000
SPY, 17, 371.86, 2, 17, 371.88, 5, 1608230470377000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230470543000000
SPY, 2, 371.86, 2, 17, 371.88, 6, 1608230470642000000
SPY, 17, 371.86, 2, 17, 371.88, 6, 1608230470543000000
SPY, 2, 371.86, 2, 17, 371.88, 6, 1608230471016000000
